Thu Nov 22 15:22:00 2018
StepTime, x, v, f, xdes, vdes, fdes, cmd, IR, LSB, LSF
5629160, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3748154, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3494867, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3184259, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3188932, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
4381876, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3569381, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3503792, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3451936, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3611653, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
5629160, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3209626, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3400691, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3188285, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3452478, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3502104, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3238105, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3189926, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3358196, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3751961, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
